shape,carat,cut,color,clarity,report,type
Round,1.8,Ideal,I,VS1,IGI,lab
Round,0.69,'Super Ideal',H,VS1,GIA,natural
Round,0.56,Ideal,F,VS1,IGI,lab
Round,1.09,'Super Ideal',G,VS1,IGI,lab
Pear,0.4,Ideal,G,SI1,IGI,lab
Round,0.4,Good,I,SI1,GIA,natural
Round,0.5,Ideal,E,VS2,GIA,natural
Round,0.51,'Super Ideal',F,VS1,GIA,natural
Round,0.32,'Super Ideal',E,VVS1,GIA,natural
Oval,2.53,'Very Good',I,VS2,GCAL,lab
Emerald,1.0,'Very Good',E,VS1,IGI,lab
Round,0.63,'Super Ideal',E,SI1,GIA,natural
Round,0.31,'Very Good',F,VS2,GCAL,lab
Round,0.54,'Super Ideal',D,VVS1,GIA,natural
Round,0.36,'Super Ideal',D,VVS2,GIA,natural
Round,0.45,Ideal,D,VS1,GIA,natural
Round,0.35,'Super Ideal',H,SI1,IGI,lab
Round,0.3,Good,G,VS2,GIA,natural
Round,1.26,'Super Ideal',I,VS1,IGI,lab
Round,1.17,Ideal,G,VVS2,IGI,lab
Round,0.57,'Very Good',F,VS1,GCAL,lab
Round,1.02,'Super Ideal',E,VS1,IGI,lab
Round,3.07,'Super Ideal',G,VS2,IGI,lab
Oval,1.01,'Super Ideal',H,VVS1,GIA,natural
Round,0.25,'Super Ideal',F,VVS1,GIA,natural
Marquise,0.32,Ideal,D,VVS1,GCAL,lab
Round,0.4,Good,I,VS2,GIA,natural
Round,0.45,'Super Ideal',E,VS1,GIA,natural
Oval,3.0,'Very Good',E,VS1,GCAL,lab
Oval,1.51,'Super Ideal',I,SI2,IGI,lab
Round,2.0,Ideal,J,SI2,IGI,lab
Oval,0.8,'Very Good',F,VVS1,IGI,lab
Round,1.29,Ideal,E,VS1,IGI,lab
Round,0.3,'Super Ideal',H,VVS2,GIA,natural
Heart,0.31,'Very Good',F,VS2,GIA,natural
Round,0.8,'Super Ideal',E,VS2,GIA,natural
Round,1.51,Ideal,G,SI2,IGI,natural
Round,0.5,'Super Ideal',E,SI2,IGI,lab
Round,0.5,'Very Good',I,SI2,GIA,natural
Oval,2.01,'Super Ideal',D,SI2,GIA,natural
Pear,1.01,Ideal,D,SI1,GIA,natural
Round,0.4,Ideal,D,SI1,GIA,natural
Princess,0.41,Ideal,E,VS1,GIA,natural
Round,0.5,Ideal,F,VVS1,GIA,natural
Round,1.13,'Super Ideal',H,SI2,GIA,natural
Round,1.5,'Very Good',G,VS2,GIA,natural
Round,0.31,'Super Ideal',D,VVS1,GIA,natural
Pear,0.51,'Very Good',I,VS1,GIA,natural
Cushion,2.41,'Very Good',E,VS1,GCAL,lab
Round,1.18,'Super Ideal',F,VS2,IGI,lab
Emerald,1.01,Ideal,E,VS1,IGI,lab
Round,1.21,'Super Ideal',I,VS2,GCAL,lab
Round,1.5,'Very Good',E,SI2,IGI,lab
Oval,0.64,'Very Good',F,VVS2,IGI,lab
Oval,0.8,Ideal,H,SI1,GIA,natural
Round,1.5,Ideal,I,VS1,IGI,lab
Marquise,0.5,Fair,F,SI2,GIA,natural
Round,1.37,'Super Ideal',J,VS1,IGI,lab
Round,1.2,Ideal,F,VS1,IGI,lab
Round,1.01,'Super Ideal',I,SI2,GIA,natural
Marquise,0.3,Ideal,G,VVS2,GIA,natural
Round,0.65,'Super Ideal',H,VVS1,GIA,natural
Round,2.08,'Super Ideal',D,VVS2,IGI,lab
Round,0.4,'Super Ideal',D,VS1,GIA,natural
Pear,2.1,Ideal,E,SI1,IGI,lab
Round,0.7,'Very Good',I,SI1,GIA,natural
Oval,2.0,Ideal,I,SI1,IGI,lab
Round,0.31,'Super Ideal',D,SI1,IGI,lab
Round,0.7,Ideal,F,VS2,IGI,lab
Round,1.2,Ideal,F,VVS2,IGI,lab
Round,0.3,'Super Ideal',G,VVS1,GIA,natural
Round,1.5,'Super Ideal',F,VS1,IGI,lab
Round,1.04,Ideal,J,SI1,IGI,lab
Round,0.31,'Super Ideal',E,VVS2,GIA,natural
Round,0.3,Ideal,E,VS2,GIA,natural
Round,1.2,'Super Ideal',H,SI2,IGI,lab
Oval,0.46,Ideal,D,SI2,GIA,natural
Round,0.35,'Super Ideal',D,VVS2,GIA,natural
Emerald,0.76,Ideal,E,VVS1,GIA,natural
Round,0.7,'Very Good',D,VVS2,GIA,natural
Cushion,0.9,'Very Good',E,VVS2,GIA,natural
Oval,1.51,Ideal,I,VS2,IGI,lab
Heart,0.31,Ideal,E,VS1,GIA,natural
Round,0.61,'Super Ideal',E,VVS2,GIA,natural
Round,0.85,'Super Ideal',E,SI2,GIA,natural
Round,1.5,'Super Ideal',H,SI1,IGI,lab
Round,0.31,'Super Ideal',E,VVS2,GIA,natural
Round,0.31,'Super Ideal',D,VS1,IGI,lab
Round,1.05,Ideal,I,VVS2,IGI,lab
Round,0.3,Ideal,E,VS1,GIA,natural
Oval,0.3,Ideal,F,SI1,GIA,natural
Round,0.31,'Very Good',E,VVS2,IGI,lab
Round,0.3,Ideal,E,SI1,GIA,natural
Emerald,0.36,Ideal,H,VS2,GIA,natural
Round,1.11,Ideal,I,VS1,IGI,lab
Round,0.41,'Super Ideal',E,VS1,GIA,natural
Emerald,0.37,'Super Ideal',F,VS1,GIA,natural
Round,0.34,'Super Ideal',H,VS1,GIA,natural
Marquise,1.03,Ideal,I,VS2,IGI,lab
Cushion,1.72,Ideal,G,VS2,GCAL,lab
Oval,1.6,Ideal,E,VS1,IGI,lab
Oval,1.6,Ideal,I,VS2,IGI,lab
Round,0.4,'Very Good',F,VS2,GIA,natural
Round,1.7,'Super Ideal',G,VS1,GIA,natural
Round,0.4,'Super Ideal',G,VS1,GIA,natural
Pear,1.09,Ideal,I,VS2,IGI,lab
Round,0.45,'Super Ideal',F,VVS1,GIA,natural
Round,1.73,'Super Ideal',E,VS2,IGI,lab
Emerald,0.9,Ideal,D,VVS1,GIA,natural
Pear,0.7,Ideal,F,VVS1,GIA,natural
Round,0.56,Ideal,E,VVS1,IGI,lab
Pear,0.3,Ideal,E,VS1,GIA,natural
Princess,0.3,Ideal,E,VVS1,GIA,natural
Princess,1.01,Ideal,F,SI1,GIA,natural
Round,1.1,'Super Ideal',D,VS2,GIA,natural
Round,0.3,Ideal,D,VVS1,GIA,natural
Round,0.51,'Very Good',D,VS2,GIA,natural
Emerald,0.3,Ideal,D,VVS2,GIA,natural
Round,0.3,'Super Ideal',E,VS1,GIA,natural
Round,0.3,'Very Good',D,VVS2,GIA,natural
Round,1.2,'Super Ideal',I,VS1,GIA,natural
Round,1.08,'Super Ideal',D,VS2,IGI,lab
Round,0.56,'Super Ideal',D,VS2,GIA,natural
Round,0.45,Ideal,E,VVS2,IGI,lab
Round,2.71,'Super Ideal',E,VVS1,IGI,lab
Pear,0.86,'Super Ideal',F,SI1,IGI,lab
Oval,2.03,'Very Good',J,SI1,IGI,lab
Asscher,1.53,Ideal,H,VS1,GIA,natural
Round,0.55,Ideal,I,SI2,GIA,natural
Round,0.46,'Super Ideal',G,VVS1,GIA,natural
Round,0.33,'Super Ideal',D,VVS1,GIA,natural
Pear,2.12,Ideal,I,SI1,IGI,lab
Oval,0.8,Ideal,G,SI1,GIA,natural
Round,0.31,'Super Ideal',D,VVS1,GIA,natural
Emerald,0.6,'Super Ideal',D,VVS1,GIA,natural
Round,1.05,'Super Ideal',I,SI1,IGI,lab
Round,1.0,'Super Ideal',G,FL,GIA,natural
Oval,0.71,'Very Good',E,VVS2,IGI,lab
Round,1.51,'Super Ideal',H,VVS2,IGI,lab
Round,2.36,'Super Ideal',H,VS2,IGI,lab
Emerald,0.6,Ideal,D,IF,GIA,natural
Round,2.32,'Super Ideal',G,VS2,IGI,lab
Round,0.31,'Super Ideal',D,SI2,GIA,natural
Round,0.5,'Very Good',I,VVS1,GIA,natural
Round,0.58,Ideal,D,SI2,IGI,lab
Pear,0.51,Ideal,H,SI1,IGI,lab
Round,0.34,'Super Ideal',D,FL,GIA,natural
Round,1.02,'Super Ideal',E,VVS2,GIA,natural
Round,1.32,'Super Ideal',H,VVS2,HRD,natural
Round,1.3,Ideal,E,SI2,IGI,lab
Round,0.3,'Super Ideal',D,VS1,GIA,natural
Round,0.52,Ideal,E,SI1,IGI,lab
Asscher,1.03,'Very Good',E,SI1,IGI,lab
Emerald,0.4,Ideal,I,VS2,GIA,natural
Round,1.18,'Super Ideal',I,VS2,IGI,lab
Round,0.85,Ideal,D,SI2,IGI,lab
Emerald,1.0,'Very Good',J,SI2,IGI,lab
Pear,1.04,Ideal,I,VS2,IGI,lab
Cushion,1.2,Ideal,D,VVS2,GIA,natural
Round,0.27,'Super Ideal',E,VS2,GIA,natural
Emerald,0.52,'Very Good',F,VVS1,GIA,natural
Round,3.01,'Super Ideal',D,VVS1,GIA,natural
Round,0.4,'Super Ideal',H,VS1,GIA,natural
Round,1.53,'Super Ideal',J,VS1,IGI,lab
Round,0.37,'Super Ideal',D,SI2,GIA,natural
Oval,3.9,Ideal,E,VS1,IGI,lab
Emerald,3.81,Ideal,E,VS1,GCAL,lab
Round,0.35,Ideal,D,SI2,IGI,lab
Round,0.8,'Super Ideal',G,IF,GIA,natural
Round,1.19,'Very Good',J,SI1,GCAL,lab
Pear,0.7,Ideal,H,VS1,GIA,natural
Round,1.2,'Super Ideal',I,VVS2,GIA,natural
Round,0.3,'Super Ideal',D,VS2,GIA,natural
Round,0.7,'Very Good',I,VVS2,GIA,natural
Round,0.26,'Super Ideal',G,SI1,GIA,natural
Round,0.53,'Super Ideal',G,SI1,GIA,natural
Round,1.12,'Super Ideal',I,VS2,GIA,natural
Round,0.63,'Super Ideal',F,VS2,GIA,natural
Oval,1.3,'Very Good',I,SI1,IGI,lab
Round,0.5,'Very Good',E,SI1,GIA,natural
Round,0.5,'Super Ideal',F,VS2,GIA,natural
Round,1.51,'Super Ideal',I,SI2,HRD,lab
Round,1.7,'Super Ideal',D,SI1,GIA,natural
Oval,0.32,Ideal,E,VVS2,IGI,lab
Pear,0.7,'Very Good',F,VS2,GIA,natural
Oval,0.41,Ideal,F,SI1,GIA,natural
Round,0.51,'Super Ideal',D,SI2,GIA,natural
Round,1.5,'Super Ideal',J,VS1,IGI,lab
Oval,0.5,Ideal,H,SI2,IGI,lab
Round,0.54,'Super Ideal',D,VVS1,GIA,natural
Round,0.5,'Very Good',I,VS2,GIA,natural
Round,1.01,'Super Ideal',G,SI2,GIA,natural
Cushion,1.01,Ideal,E,VS2,GIA,natural
Round,0.56,'Super Ideal',E,SI1,GIA,natural
Pear,0.57,Ideal,G,VS1,IGI,lab
Pear,0.89,Ideal,F,SI2,IGI,lab
Oval,0.38,'Very Good',G,VS1,IGI,lab
Round,0.3,'Super Ideal',G,SI1,GIA,natural
Round,0.3,'Super Ideal',E,VVS2,GIA,natural
Pear,1.0,Ideal,G,SI2,IGI,lab
Round,0.5,'Very Good',F,VS1,GIA,natural
Pear,0.4,Ideal,I,VS1,GIA,natural
Round,1.32,'Super Ideal',G,SI1,IGI,lab
Round,1.02,'Super Ideal',D,VS1,IGI,lab
Cushion,0.75,'Super Ideal',G,SI2,GIA,natural
Round,1.57,'Super Ideal',G,VS2,GCAL,lab
Round,0.32,'Super Ideal',D,VVS2,GIA,natural
Oval,1.6,'Very Good',I,SI1,IGI,lab
Round,0.97,'Super Ideal',F,SI2,GIA,natural
Round,1.1,Ideal,E,VS2,GCAL,lab
Round,0.4,'Super Ideal',E,IF,GIA,natural
Round,0.84,'Super Ideal',G,VVS1,GIA,natural
Round,1.0,Ideal,G,SI2,IGI,natural
Emerald,0.7,'Super Ideal',I,SI1,GIA,natural
Round,0.4,'Very Good',E,VS2,GIA,natural
Pear,0.7,Ideal,G,VS2,IGI,lab
Round,1.5,'Super Ideal',F,SI1,IGI,lab
Round,0.45,'Very Good',I,VS2,GIA,natural
Round,0.35,'Super Ideal',F,VS2,GIA,natural
Round,0.26,'Very Good',G,VVS1,GIA,natural
Pear,0.9,Good,G,VVS2,GIA,natural
Round,0.3,'Super Ideal',D,SI1,GIA,natural
Round,0.6,Ideal,G,SI1,GIA,natural
Oval,1.51,Ideal,E,SI2,IGI,natural
Round,0.41,'Super Ideal',H,SI1,GIA,natural
Round,0.51,'Super Ideal',D,VS2,GIA,natural
Oval,1.4,'Super Ideal',E,SI1,GIA,natural
Round,0.58,'Super Ideal',F,VS1,GIA,natural
Round,0.3,'Super Ideal',G,SI1,GIA,natural
Cushion,3.0,Ideal,J,VS2,GIA,natural
Round,1.01,'Very Good',D,VS1,GCAL,lab
Round,1.2,Ideal,J,SI1,IGI,lab
Round,0.5,'Super Ideal',F,VVS1,GIA,natural
Pear,0.41,Ideal,G,VS1,IGI,lab
Round,0.3,Ideal,G,VS1,GIA,natural
Princess,1.22,Ideal,G,VS1,IGI,lab
Emerald,2.12,'Super Ideal',D,VVS1,IGI,lab
Marquise,0.49,'Very Good',G,SI2,GCAL,lab
Round,0.4,'Super Ideal',F,VS1,GIA,natural
Pear,0.38,Ideal,D,VS1,IGI,lab
Round,0.41,'Super Ideal',E,VVS1,GIA,natural
Round,0.3,'Super Ideal',D,IF,GIA,natural
Princess,0.37,'Very Good',E,SI2,GIA,natural
Round,3.01,'Super Ideal',E,VS1,IGI,lab
Round,0.59,'Super Ideal',G,VVS1,GIA,natural
Princess,0.3,Ideal,F,SI1,GIA,natural
Emerald,4.04,Ideal,F,VVS2,IGI,lab
Oval,0.51,Ideal,G,SI2,IGI,lab
Round,0.31,'Super Ideal',D,VVS2,GIA,natural
Oval,0.8,Ideal,F,SI2,GIA,natural
Round,0.5,'Super Ideal',J,SI2,GIA,natural
Oval,1.62,'Super Ideal',J,SI1,IGI,lab
Round,0.9,'Very Good',I,SI1,IGI,lab
Oval,0.78,'Very Good',G,VVS2,GCAL,lab
Round,1.01,'Super Ideal',D,VS1,GIA,natural
Round,1.01,'Super Ideal',E,SI1,GIA,natural
Round,1.0,Ideal,E,SI2,IGI,natural
Round,1.51,Ideal,G,VS1,IGI,lab
Round,0.38,'Super Ideal',D,VS1,IGI,lab
Round,2.03,'Very Good',I,VVS2,HRD,lab
Round,1.05,Ideal,I,VS1,IGI,lab
Round,0.31,'Super Ideal',E,VS1,IGI,lab
Round,0.31,'Super Ideal',E,VS1,GIA,natural
Cushion,1.59,'Very Good',H,VS2,GCAL,lab
Round,0.7,'Very Good',F,SI1,GIA,natural
Round,0.3,'Super Ideal',F,VS2,GIA,natural
Round,0.27,'Super Ideal',D,VVS1,GIA,natural
Round,0.43,'Super Ideal',F,IF,GIA,natural
Oval,0.5,'Very Good',D,VS2,GCAL,lab
Round,1.51,Ideal,E,SI1,IGI,lab
Round,1.0,'Super Ideal',F,SI2,GIA,natural
Marquise,1.67,'Super Ideal',I,SI2,IGI,lab
Round,1.13,'Super Ideal',F,VS1,GCAL,lab
Round,0.5,'Very Good',G,VS2,GIA,natural
Oval,0.52,'Super Ideal',E,VS1,GIA,natural
Round,0.5,'Super Ideal',D,VS2,GIA,natural
Round,1.07,'Super Ideal',I,VS1,IGI,lab
Round,1.52,Ideal,I,SI1,IGI,lab
Round,0.57,Ideal,F,VVS1,IGI,lab
Round,0.42,'Super Ideal',E,IF,GIA,natural
Round,1.27,Ideal,I,VS1,IGI,lab
Round,1.22,'Super Ideal',I,VS1,IGI,lab
Round,0.5,Ideal,E,VVS1,GIA,natural
Round,2.03,Ideal,E,VS2,IGI,lab
Round,1.35,'Super Ideal',I,VS1,IGI,lab
Round,1.05,'Super Ideal',I,SI1,GIA,natural
Round,1.6,'Super Ideal',J,SI1,IGI,lab
Round,0.51,Ideal,I,VS2,GIA,natural
Round,0.7,'Very Good',F,VS1,GIA,natural
Princess,0.3,Ideal,D,SI1,GIA,natural
Round,0.5,Ideal,E,VS1,GIA,natural
Round,0.32,'Super Ideal',G,IF,GIA,natural
Heart,1.7,'Super Ideal',H,VS1,GIA,natural
Round,1.51,Ideal,I,SI2,IGI,natural
Round,1.18,'Super Ideal',I,SI2,IGI,lab
Round,1.0,'Super Ideal',H,SI1,GIA,natural
Cushion,1.12,'Very Good',G,SI1,IGI,lab
Heart,0.3,'Very Good',H,VS1,GIA,natural
Round,0.32,'Super Ideal',D,SI2,GIA,natural
Round,0.57,'Super Ideal',E,VVS1,GIA,natural
Round,0.5,'Very Good',D,VS2,GIA,natural
Round,0.33,'Super Ideal',E,IF,GIA,natural
Round,0.3,Ideal,G,VS2,GIA,natural
Round,0.3,Ideal,E,VVS2,GIA,natural
Round,0.4,'Super Ideal',F,VS2,GIA,natural
Round,0.3,Ideal,D,SI1,IGI,lab
Round,0.7,'Super Ideal',F,VVS1,GIA,natural
Round,0.46,'Super Ideal',D,VS2,GIA,natural
Round,1.1,Ideal,J,VS1,IGI,lab
Round,0.5,'Super Ideal',G,SI1,GIA,natural
Pear,0.57,Ideal,E,SI1,GIA,natural
Round,1.34,'Super Ideal',F,SI1,IGI,lab
Princess,1.51,Ideal,H,VS2,GCAL,lab
Round,0.6,'Super Ideal',F,SI1,GIA,natural
Round,0.35,'Super Ideal',D,VVS1,GIA,natural
Princess,1.12,'Super Ideal',F,VVS2,IGI,lab
Round,0.8,'Super Ideal',I,SI1,GIA,natural
Round,0.4,'Super Ideal',F,VS2,GIA,natural
Round,0.33,Ideal,E,VVS2,IGI,lab
Round,0.54,Ideal,E,VS1,IGI,lab
Round,0.32,'Super Ideal',D,VS2,GIA,natural
Oval,1.84,'Super Ideal',F,VS1,IGI,lab
Pear,0.36,Good,I,VVS2,IGI,lab
Round,0.72,Ideal,E,VS2,IGI,lab
Round,0.6,Ideal,H,VS1,GIA,natural
Round,0.5,'Very Good',G,VS2,GIA,natural
Round,0.3,Ideal,E,SI2,GIA,natural
Round,0.5,Good,G,SI2,GIA,natural
Oval,0.7,'Very Good',H,VS1,IGI,lab
Round,1.1,Ideal,H,VS1,IGI,lab
Round,1.14,Ideal,I,VS1,IGI,lab
Round,0.45,'Super Ideal',D,SI1,GIA,natural
Marquise,0.8,'Very Good',H,SI2,GIA,natural
Emerald,2.01,'Super Ideal',F,SI1,IGI,lab
Oval,0.7,Ideal,G,SI2,GIA,natural
Pear,0.82,Ideal,F,VS1,IGI,lab
Round,0.4,Ideal,I,VVS1,GIA,natural
Round,0.5,'Very Good',D,VVS1,GIA,natural
Radiant,0.83,'Super Ideal',G,VS2,IGI,lab
Round,0.29,Ideal,G,VVS1,GIA,natural
Marquise,0.5,Ideal,I,SI1,IGI,lab
Round,1.13,Ideal,I,VS1,IGI,lab
Round,0.4,'Super Ideal',E,VS2,GIA,natural
Round,0.25,'Super Ideal',F,VS1,GIA,natural
Round,0.4,'Super Ideal',F,VS2,GIA,natural
Round,0.84,'Very Good',E,VVS2,IGI,lab
Round,0.5,'Super Ideal',H,SI2,GIA,natural
Round,0.5,Ideal,D,VVS2,GIA,natural
Oval,0.7,'Very Good',D,VS2,IGI,lab
Round,1.4,Ideal,F,SI2,IGI,natural
Round,1.5,Ideal,H,SI2,IGI,natural
Round,0.58,'Super Ideal',D,VVS2,IGI,lab
Cushion,1.0,Ideal,J,SI2,GIA,natural
Round,0.32,'Super Ideal',G,SI1,GIA,natural
Round,0.81,Ideal,G,SI1,IGI,lab
Round,0.45,'Very Good',H,VVS2,GIA,natural
Round,0.31,'Super Ideal',F,SI2,GIA,natural
Round,0.3,'Super Ideal',I,VS1,IGI,lab
Round,0.4,'Very Good',I,VS2,GIA,natural
Round,0.3,Ideal,D,VS1,IGI,lab
Round,0.35,'Super Ideal',F,SI2,GIA,natural
Princess,0.8,Ideal,F,SI2,GIA,natural
Round,0.43,'Very Good',E,VVS2,IGI,lab
Round,0.5,'Very Good',G,VVS2,GIA,natural
Round,0.3,'Super Ideal',D,VS2,GIA,natural
Round,1.11,'Super Ideal',E,VVS1,GIA,natural
Oval,3.02,'Very Good',D,VS1,GCAL,lab
Round,0.31,Ideal,E,VS1,IGI,lab
Round,1.55,'Super Ideal',E,VVS2,IGI,lab
Round,1.32,'Super Ideal',J,VS1,IGI,lab
Round,0.4,'Very Good',E,VS2,GIA,natural
Round,0.34,'Super Ideal',D,VVS2,GIA,natural
Round,1.69,Ideal,E,VS2,IGI,lab
Round,0.42,'Super Ideal',D,VVS2,GIA,natural
Emerald,0.3,'Super Ideal',D,VVS2,GIA,natural
Oval,2.0,Ideal,I,SI2,IGI,lab
Heart,1.0,Ideal,E,SI1,GCAL,lab
Round,1.5,'Super Ideal',G,VS1,IGI,lab
Round,2.13,'Super Ideal',G,SI1,IGI,lab
Round,1.0,'Very Good',I,VS1,GCAL,lab
Emerald,0.32,Ideal,E,SI1,GIA,natural
Cushion,0.3,'Very Good',E,VS2,IGI,lab
Round,0.54,'Super Ideal',H,VS2,GIA,natural
Emerald,1.01,Ideal,F,SI1,IGI,lab
Pear,0.61,'Super Ideal',G,VS1,IGI,lab
Princess,0.7,'Super Ideal',J,SI2,IGI,lab
Emerald,2.02,'Very Good',I,SI1,GCAL,lab
Round,0.5,'Very Good',I,SI1,GIA,natural
Princess,0.4,Ideal,F,VVS1,GIA,natural
Round,0.4,'Super Ideal',D,VVS2,GIA,natural
Round,0.52,'Super Ideal',E,IF,GIA,natural
Round,0.26,'Super Ideal',F,VVS1,GIA,natural
Round,0.33,'Super Ideal',E,VS1,GIA,natural
Round,0.34,'Super Ideal',F,VS1,GIA,natural
Round,0.4,'Super Ideal',E,IF,GIA,natural
Round,0.51,'Super Ideal',E,VVS1,GIA,natural
Cushion,1.01,Good,E,VS2,IGI,lab
Round,1.21,'Super Ideal',I,VS2,GIA,natural
Round,3.02,Ideal,G,SI2,IGI,lab
Round,1.2,Ideal,E,VS1,IGI,lab
Oval,1.7,Ideal,E,VS1,IGI,lab
Round,0.9,'Very Good',E,VVS2,GIA,natural
Round,2.01,Ideal,F,SI1,IGI,lab
Pear,1.0,Ideal,F,VS2,GIA,natural
Round,0.52,Ideal,E,SI1,IGI,lab
Round,1.03,'Super Ideal',E,VS1,IGI,lab
Pear,0.58,Ideal,H,VVS2,IGI,lab
Round,0.8,'Super Ideal',D,IF,GIA,natural
Round,0.35,'Super Ideal',E,SI1,IGI,lab
Pear,0.96,Ideal,F,SI2,IGI,natural
Round,0.4,'Super Ideal',G,SI1,GIA,natural
Round,1.32,'Super Ideal',I,VS1,IGI,lab
Oval,2.02,'Super Ideal',I,VS2,IGI,lab
Emerald,0.9,'Super Ideal',I,SI1,GIA,natural
Round,2.01,'Super Ideal',D,VS2,IGI,lab
Round,0.4,'Very Good',F,SI1,GIA,natural
Pear,1.0,Ideal,H,VS2,GIA,natural
Round,0.5,'Very Good',G,VVS1,GIA,natural
Round,0.9,'Super Ideal',I,VS2,GIA,natural
Oval,1.7,Ideal,I,SI2,IGI,lab
Round,0.3,'Very Good',J,VS1,GIA,natural
Oval,0.31,'Very Good',F,VS2,IGI,lab
Pear,0.6,'Very Good',H,VS1,GIA,natural
Round,1.12,Ideal,H,SI2,IGI,lab
Round,1.12,'Super Ideal',E,SI2,IGI,lab
Round,0.5,'Very Good',F,VS1,IGI,lab
Round,1.11,'Super Ideal',F,SI1,IGI,lab
Round,2.5,Ideal,J,SI1,IGI,lab
Round,0.36,'Super Ideal',E,VS1,IGI,lab
Round,0.78,Ideal,E,SI1,IGI,lab
Oval,2.1,Ideal,I,VS2,IGI,lab
Round,0.26,'Super Ideal',G,VVS1,GIA,natural
Round,0.31,'Super Ideal',D,VVS1,GIA,natural
Oval,0.31,'Very Good',G,VVS1,IGI,lab
Pear,0.5,Ideal,I,SI1,IGI,lab
Round,0.3,'Super Ideal',E,VVS2,GIA,natural
Round,2.03,'Super Ideal',F,VS1,IGI,lab
Round,0.5,'Super Ideal',E,VS2,GIA,natural
Round,1.65,'Super Ideal',E,VS1,IGI,lab
Round,2.37,'Super Ideal',I,VS2,IGI,lab
Asscher,1.14,'Very Good',E,VS2,IGI,lab
Cushion,1.04,Ideal,G,VS1,IGI,lab
Pear,1.21,'Super Ideal',G,VS2,IGI,lab
Oval,2.02,'Super Ideal',E,VVS1,IGI,lab
Round,0.31,'Super Ideal',D,IF,GIA,natural
Round,0.3,'Super Ideal',E,VVS2,GIA,natural
Princess,0.33,'Very Good',G,VVS2,GIA,natural
Round,1.71,'Super Ideal',G,VVS2,IGI,lab
Pear,0.8,'Very Good',G,SI1,GCAL,lab
Round,0.54,'Super Ideal',F,VS1,GIA,natural
Round,1.19,Ideal,D,VS2,IGI,lab
Round,1.15,'Super Ideal',J,VS1,GIA,natural
Round,0.9,'Very Good',H,VS2,GIA,natural
Heart,2.01,'Very Good',I,SI1,IGI,lab
Cushion,0.72,Ideal,E,VS2,GIA,natural
Round,0.85,'Super Ideal',H,IF,GIA,natural
Emerald,1.7,'Super Ideal',E,SI1,GIA,natural
Cushion,2.01,'Very Good',E,VS1,IGI,lab
Round,1.0,Ideal,J,VS1,IGI,lab
Round,1.0,'Super Ideal',G,SI1,IGI,lab
Oval,1.31,'Very Good',I,SI1,IGI,lab
Round,1.72,Ideal,G,SI2,IGI,lab
Round,1.01,Ideal,I,SI1,IGI,lab
Round,1.5,Ideal,I,VS2,IGI,lab
Round,0.25,'Super Ideal',G,VS1,GIA,natural
Round,1.02,Ideal,I,VS1,IGI,lab
Round,2.0,Ideal,J,SI1,IGI,lab
Round,1.06,'Super Ideal',I,VS2,GIA,natural
Round,0.5,'Super Ideal',D,VS2,GIA,natural
Princess,1.2,'Super Ideal',E,SI1,GIA,natural
Emerald,1.0,'Very Good',F,SI1,IGI,lab
Round,0.31,Ideal,D,VS1,IGI,lab
Round,0.34,'Super Ideal',I,VS1,GIA,natural
Round,1.51,Ideal,H,SI2,IGI,natural
Round,2.01,'Super Ideal',H,SI1,GIA,natural
Round,0.5,'Super Ideal',G,VS2,GIA,natural
Round,0.3,'Very Good',D,VVS2,GIA,natural
Pear,0.82,Ideal,G,VS1,IGI,lab
Pear,0.51,Ideal,D,VS1,IGI,lab
Round,0.6,'Super Ideal',F,VS2,GIA,natural
Round,1.69,Ideal,G,VS1,IGI,lab
Emerald,2.4,Ideal,E,VS1,GCAL,lab
Round,0.3,Ideal,F,VS2,GIA,natural
Round,0.3,'Super Ideal',E,VS1,GIA,natural
Round,0.26,'Super Ideal',G,VS1,GIA,natural
Pear,0.58,Ideal,I,SI1,IGI,lab
Oval,1.01,Ideal,E,VS1,IGI,lab
Round,2.04,Ideal,I,VS1,IGI,lab
Round,1.5,'Very Good',I,VS1,IGI,lab
Round,1.77,'Super Ideal',J,VS2,IGI,lab
Pear,1.02,Ideal,H,VS2,IGI,lab
Pear,2.06,Ideal,J,VS1,IGI,lab
Round,1.5,'Very Good',I,VS2,IGI,lab
Round,1.11,'Super Ideal',H,VS1,HRD,lab
Round,0.33,'Super Ideal',F,VVS1,GIA,natural
Emerald,3.01,Ideal,I,SI1,IGI,lab
Round,0.65,'Super Ideal',D,VS1,GIA,natural
Emerald,0.3,Ideal,E,VS2,GIA,natural
Round,1.01,'Super Ideal',I,SI2,GIA,natural
Round,0.5,'Super Ideal',G,VS2,GIA,natural
Round,1.2,'Super Ideal',H,SI2,GIA,natural
Round,0.28,'Super Ideal',D,VS1,GIA,natural
Pear,0.8,'Very Good',G,SI1,IGI,lab
Pear,1.0,'Very Good',G,VS2,IGI,lab
Radiant,0.51,'Very Good',D,SI1,GCAL,lab
Round,0.5,Good,H,SI1,GIA,natural
Round,0.9,'Super Ideal',D,IF,GIA,natural
Round,0.4,'Super Ideal',F,VS1,GIA,natural
Round,0.41,'Super Ideal',D,VS1,GIA,natural
Round,0.25,'Super Ideal',D,VVS1,GIA,natural
Pear,0.35,Good,H,VS2,IGI,lab
Round,1.01,'Super Ideal',D,SI2,GIA,natural
Marquise,1.71,Ideal,J,VS2,IGI,lab
Round,1.06,'Super Ideal',F,VVS1,GIA,natural
